date,value,,TAVG,TMAX,TMIN
1/8/1942,-13.8,,-13.8,,
1/9/1942,-14.5,,-14.5,,
1/10/1942,-8.6,,-8.6,,
1/11/1942,-15.1,,-15.1,,
1/12/1942,-8.8,,-8.8,,
1/13/1942,-3.7,,-3.7,,
1/14/1942,-13.3,,-13.3,,
1/17/1942,-4.2,,-4.2,,
1/18/1942,0.7,,0.7,,
1/19/1942,4.9,,4.9,,
1/20/1942,3.5,,3.5,,
1/21/1942,1.1,,1.1,,
1/22/1942,-2,,-2,,
1/23/1942,0.9,,0.9,,
1/24/1942,5.3,,5.3,,
1/25/1942,0.4,,0.4,,
1/26/1942,-0.6,,-0.6,,
1/27/1942,-0.6,,-0.6,,
1/28/1942,1.1,,1.1,,
1/29/1942,-5.3,,-5.3,,
1/30/1942,-8.2,,-8.2,,
1/31/1942,-3.1,,-3.1,,
2/1/1942,1.4,,1.4,,
2/2/1942,-7.4,,-7.4,,
2/3/1942,-13.9,,-13.9,,
2/4/1942,-11.6,,-11.6,,
2/5/1942,-5.7,,-5.7,,
2/6/1942,-0.2,,-0.2,,
2/7/1942,0.4,,0.4,,
2/8/1942,0.6,,0.6,,
2/9/1942,-8.4,,-8.4,,
2/10/1942,-6.6,,-6.6,,
2/11/1942,-4.9,,-4.9,,
2/12/1942,-6.6,,-6.6,,
2/13/1942,-8.6,,-8.6,,
2/14/1942,-3.2,,-3.2,,
2/15/1942,0.1,,0.1,,
2/16/1942,-1.6,,-1.6,,
2/17/1942,2.7,,2.7,,
2/18/1942,1.8,,1.8,,
2/19/1942,-3.2,,-3.2,,
2/20/1942,-9.6,,-9.6,,
2/21/1942,-9.8,,-9.8,,
2/22/1942,-5.4,,-5.4,,
2/23/1942,-1.1,,-1.1,,
2/24/1942,-3.8,,-3.8,,
2/25/1942,-1.4,,-1.4,,
2/26/1942,-1.8,,-1.8,,
2/27/1942,-1.4,,-1.4,,
2/28/1942,1.7,,1.7,,
3/1/1942,3.7,,3.7,,
3/2/1942,3.8,,3.8,,
3/3/1942,4.2,,4.2,,
3/4/1942,3.5,,3.5,,
3/5/1942,3.7,,3.7,,
3/6/1942,2.9,,2.9,,
3/7/1942,3.5,,3.5,,
3/8/1942,7.6,,7.6,,
3/9/1942,11.2,,11.2,,
3/10/1942,3.7,,3.7,,
3/11/1942,3.3,,3.3,,
3/12/1942,3.9,,3.9,,
3/13/1942,3.9,,3.9,,
3/14/1942,1.7,,1.7,,
3/15/1942,0.9,,0.9,,
3/16/1942,3.6,,3.6,,
3/17/1942,2.2,,2.2,,
