date,value
1/1/1955,0
1/2/1955,0.4
1/3/1955,0
1/4/1955,0
1/5/1955,0.02
1/6/1955,0.41
1/7/1955,0
1/8/1955,0
1/9/1955,0
1/10/1955,0
1/11/1955,0
1/12/1955,0
1/13/1955,0
1/14/1955,0
1/15/1955,0.02
1/16/1955,0
1/17/1955,0
1/18/1955,0
1/19/1955,0
1/20/1955,0
1/21/1955,0
1/22/1955,0.06
1/23/1955,0
1/24/1955,0
1/25/1955,0
1/26/1955,0
1/27/1955,0
1/28/1955,0
1/29/1955,0
1/30/1955,0
1/31/1955,0
2/1/1955,0.08
2/2/1955,0
2/3/1955,0
2/4/1955,0
2/5/1955,0
2/6/1955,0.82
2/7/1955,0.28
2/8/1955,0
2/9/1955,0
2/10/1955,0
2/11/1955,0.9
2/12/1955,0
2/13/1955,0
2/14/1955,0.05
2/15/1955,0.05
2/16/1955,0.06
2/17/1955,0.43
2/18/1955,0
2/19/1955,0
2/20/1955,0
2/21/1955,0
2/22/1955,0.02
2/23/1955,0.5
2/24/1955,0
2/25/1955,0
2/26/1955,0
2/27/1955,0.23
2/28/1955,0
3/1/1955,0.53
3/2/1955,0
3/3/1955,0
3/4/1955,0.8
3/5/1955,0.12
3/6/1955,0.47
3/7/1955,0.05
3/8/1955,0
3/9/1955,0.06
3/10/1955,0
3/11/1955,0
3/12/1955,0.05
3/13/1955,0.06
3/14/1955,0
3/15/1955,0.07
3/16/1955,0.3
3/17/1955,0
3/18/1955,0.08
3/19/1955,0
3/20/1955,0
3/21/1955,0.42
3/22/1955,1.46
3/23/1955,0
3/24/1955,0.08
3/25/1955,0
3/26/1955,0.35
3/27/1955,0
3/28/1955,0
3/29/1955,0
3/30/1955,0
3/31/1955,0
4/1/1955,0
4/2/1955,0
4/3/1955,0.85
4/4/1955,0.23
4/5/1955,0
4/6/1955,0.2
4/7/1955,0
4/8/1955,0
4/9/1955,0
4/10/1955,0
4/11/1955,0
4/12/1955,0.05
4/13/1955,0.07
4/14/1955,0.05
4/15/1955,0
4/16/1955,0
4/17/1955,0
4/18/1955,0
4/19/1955,0.02
4/20/1955,0
4/21/1955,0.07
4/22/1955,0.33
4/23/1955,0
4/24/1955,0.45
4/25/1955,0.57
4/26/1955,0.84
4/27/1955,0.01
4/28/1955,0.35
4/29/1955,0.59
4/30/1955,0
5/1/1955,0
5/2/1955,0
5/3/1955,0
5/4/1955,0
5/5/1955,0.12
5/6/1955,0
5/7/1955,0
5/8/1955,0.16
5/9/1955,0
5/10/1955,0
5/11/1955,0
5/12/1955,0
5/13/1955,0
5/14/1955,0
5/15/1955,0
5/16/1955,0.05
5/17/1955,0
5/18/1955,0
5/19/1955,0
5/20/1955,0
5/21/1955,0
5/22/1955,0
5/23/1955,0.02
5/24/1955,0.04
5/25/1955,0.26
5/26/1955,0.04
5/27/1955,0
5/28/1955,0
5/29/1955,0.05
5/30/1955,0.04
5/31/1955,0
6/1/1955,0
6/2/1955,0
6/3/1955,0
6/4/1955,0.05
6/5/1955,0.02
6/6/1955,0
6/7/1955,0
6/8/1955,0
6/9/1955,0
6/10/1955,0
6/11/1955,0.21
6/12/1955,0.55
6/13/1955,0.02
6/14/1955,0
6/15/1955,0
6/16/1955,0
6/17/1955,0
6/18/1955,0
6/19/1955,0
6/20/1955,0.35
6/21/1955,1.19
6/22/1955,0.47
6/23/1955,0
6/24/1955,0.34
6/25/1955,0.03
6/26/1955,0.02
6/27/1955,0
6/28/1955,0.21
6/29/1955,0
6/30/1955,0
7/1/1955,0.05
7/2/1955,0.33
7/3/1955,0
7/4/1955,0
7/5/1955,0.06
7/6/1955,0.03
7/7/1955,0
7/8/1955,0
7/9/1955,0
7/10/1955,0.4
7/11/1955,0
7/12/1955,0
7/13/1955,0
7/14/1955,0
7/15/1955,0
7/16/1955,0.48
7/17/1955,0.05
7/18/1955,0.77
7/19/1955,0
7/20/1955,0
7/21/1955,0
7/22/1955,0
7/23/1955,0
7/24/1955,0.07
7/25/1955,0
7/26/1955,0
7/27/1955,0
7/28/1955,0.31
7/29/1955,0
7/30/1955,0
7/31/1955,0
8/1/1955,0
8/2/1955,0
8/3/1955,0
8/4/1955,0
8/5/1955,0.77
8/6/1955,0
8/7/1955,1.51
8/8/1955,0
8/9/1955,0
8/10/1955,0.02
8/11/1955,0.58
8/12/1955,2.08
8/13/1955,1.64
8/14/1955,0.3
8/15/1955,0
8/16/1955,0
8/17/1955,0.43
8/18/1955,6.27
8/19/1955,7.7
8/20/1955,0
8/21/1955,0
8/22/1955,0.43
8/23/1955,0.01
8/24/1955,0
8/25/1955,0
8/26/1955,0
8/27/1955,0.12
8/28/1955,0
8/29/1955,0
8/30/1955,0
8/31/1955,0.01
9/1/1955,0
9/2/1955,0
9/3/1955,0
9/4/1955,0
9/5/1955,0.28
9/6/1955,0
9/7/1955,0
9/8/1955,0
9/9/1955,0
9/10/1955,0
9/11/1955,0.14
9/12/1955,0.02
9/13/1955,0
9/14/1955,0
9/15/1955,0.02
9/16/1955,0
9/17/1955,0
9/18/1955,0
9/19/1955,0.01
9/20/1955,0.08
9/21/1955,0
9/22/1955,0
9/23/1955,0.02
9/24/1955,1.58
9/25/1955,0
9/26/1955,0
9/27/1955,0
9/28/1955,0.79
9/29/1955,0
9/30/1955,0.21
10/1/1955,0.01
10/2/1955,0
10/3/1955,0
10/4/1955,0
10/5/1955,0
10/6/1955,1.33
10/7/1955,0.17
10/8/1955,0.47
10/9/1955,0
10/10/1955,0
10/11/1955,0
10/12/1955,0
10/13/1955,0
10/14/1955,0.64
10/15/1955,2.25
10/16/1955,3.68
