date,value,saved as: globalTempMonthly.csv
1/1/1880,-0.17,
2/1/1880,-0.23,
3/1/1880,-0.08,
4/1/1880,-0.15,
5/1/1880,-0.09,
6/1/1880,-0.2,
7/1/1880,-0.17,
8/1/1880,-0.09,
9/1/1880,-0.14,
10/1/1880,-0.22,
11/1/1880,-0.21,
12/1/1880,-0.16,
1/1/1881,-0.18,
2/1/1881,-0.13,
3/1/1881,0.04,
4/1/1881,0.06,
5/1/1881,0.07,
6/1/1881,-0.17,
7/1/1881,0.01,
8/1/1881,-0.02,
9/1/1881,-0.14,
10/1/1881,-0.2,
11/1/1881,-0.17,
12/1/1881,-0.06,
1/1/1882,0.18,
2/1/1882,0.15,
3/1/1882,0.06,
4/1/1882,-0.15,
5/1/1882,-0.14,
6/1/1882,-0.22,
7/1/1882,-0.15,
8/1/1882,-0.06,
9/1/1882,-0.14,
10/1/1882,-0.23,
11/1/1882,-0.15,
12/1/1882,-0.35,
1/1/1883,-0.28,
2/1/1883,-0.36,
3/1/1883,-0.12,
4/1/1883,-0.18,
5/1/1883,-0.17,
6/1/1883,-0.06,
7/1/1883,-0.07,
8/1/1883,-0.13,
9/1/1883,-0.21,
10/1/1883,-0.11,
11/1/1883,-0.23,
12/1/1883,-0.1,
1/1/1884,-0.12,
2/1/1884,-0.08,
3/1/1884,-0.36,
4/1/1884,-0.39,
5/1/1884,-0.34,
6/1/1884,-0.34,
7/1/1884,-0.32,
8/1/1884,-0.27,
9/1/1884,-0.27,
10/1/1884,-0.24,
11/1/1884,-0.32,
12/1/1884,-0.3,
1/1/1885,-0.57,
2/1/1885,-0.32,
3/1/1885,-0.25,
4/1/1885,-0.41,
5/1/1885,-0.44,
6/1/1885,-0.42,
7/1/1885,-0.32,
8/1/1885,-0.29,
9/1/1885,-0.27,
10/1/1885,-0.22,
11/1/1885,-0.22,
12/1/1885,-0.08,
1/1/1886,-0.41,
2/1/1886,-0.49,
3/1/1886,-0.41,
4/1/1886,-0.27,
5/1/1886,-0.23,
6/1/1886,-0.33,
7/1/1886,-0.17,
8/1/1886,-0.29,
9/1/1886,-0.22,
10/1/1886,-0.26,
11/1/1886,-0.25,
12/1/1886,-0.23,
1/1/1887,-0.7,
2/1/1887,-0.55,
3/1/1887,-0.34,
4/1/1887,-0.33,
5/1/1887,-0.29,
6/1/1887,-0.23,
7/1/1887,-0.24,
8/1/1887,-0.33,
9/1/1887,-0.24,
10/1/1887,-0.34,
11/1/1887,-0.24,
12/1/1887,-0.32,
1/1/1888,-0.32,
2/1/1888,-0.34,
3/1/1888,-0.39,
4/1/1888,-0.19,
5/1/1888,-0.21,
6/1/1888,-0.16,
7/1/1888,-0.09,
8/1/1888,-0.14,
9/1/1888,-0.11,
10/1/1888,0.03,
11/1/1888,0.05,
12/1/1888,-0.03,
1/1/1889,-0.07,
2/1/1889,0.19,
3/1/1889,0.07,
4/1/1889,0.11,
5/1/1889,0,
6/1/1889,-0.09,
7/1/1889,-0.06,
8/1/1889,-0.19,
9/1/1889,-0.23,
10/1/1889,-0.24,
11/1/1889,-0.32,
12/1/1889,-0.28,
1/1/1890,-0.41,
2/1/1890,-0.45,
3/1/1890,-0.39,
4/1/1890,-0.28,
5/1/1890,-0.39,
6/1/1890,-0.23,
7/1/1890,-0.27,
8/1/1890,-0.38,
9/1/1890,-0.35,
