date,value
3/1/1958,315.71
4/1/1958,317.45
5/1/1958,317.5
6/1/1958,317.1
7/1/1958,315.86
8/1/1958,314.93
9/1/1958,313.2
10/1/1958,312.66
11/1/1958,313.33
12/1/1958,314.67
1/1/1959,315.62
2/1/1959,316.38
3/1/1959,316.71
4/1/1959,317.72
5/1/1959,318.29
6/1/1959,318.15
7/1/1959,316.54
8/1/1959,314.8
9/1/1959,313.84
10/1/1959,313.26
11/1/1959,314.8
12/1/1959,315.58
1/1/1960,316.43
2/1/1960,316.97
3/1/1960,317.58
4/1/1960,319.02
5/1/1960,320.03
6/1/1960,319.59
7/1/1960,318.18
8/1/1960,315.91
9/1/1960,314.16
10/1/1960,313.83
11/1/1960,315
12/1/1960,316.19
1/1/1961,316.93
2/1/1961,317.7
3/1/1961,318.54
4/1/1961,319.48
5/1/1961,320.58
6/1/1961,319.77
7/1/1961,318.57
8/1/1961,316.79
9/1/1961,314.8
10/1/1961,315.38
11/1/1961,316.1
12/1/1961,317.01
1/1/1962,317.94
2/1/1962,318.56
3/1/1962,319.68
4/1/1962,320.63
5/1/1962,321.01
6/1/1962,320.55
7/1/1962,319.58
8/1/1962,317.4
9/1/1962,316.26
10/1/1962,315.42
11/1/1962,316.69
12/1/1962,317.69
1/1/1963,318.74
2/1/1963,319.08
3/1/1963,319.86
4/1/1963,321.39
5/1/1963,322.25
6/1/1963,321.47
7/1/1963,319.74
8/1/1963,317.77
9/1/1963,316.21
10/1/1963,315.99
11/1/1963,317.12
12/1/1963,318.31
1/1/1964,319.57
2/1/1964,320.07
3/1/1964,320.73
4/1/1964,321.77
5/1/1964,322.25
6/1/1964,321.89
7/1/1964,320.44
8/1/1964,318.7
9/1/1964,316.7
10/1/1964,316.79
11/1/1964,317.79
12/1/1964,318.71
1/1/1965,319.44
2/1/1965,320.44
3/1/1965,320.89
4/1/1965,322.13
5/1/1965,322.16
6/1/1965,321.87
7/1/1965,321.39
8/1/1965,318.81
9/1/1965,317.81
10/1/1965,317.3
11/1/1965,318.87
12/1/1965,319.42
1/1/1966,320.62
2/1/1966,321.59
3/1/1966,322.39
4/1/1966,323.87
5/1/1966,324.01
6/1/1966,323.75
7/1/1966,322.39
8/1/1966,320.37
9/1/1966,318.64
10/1/1966,318.1
11/1/1966,319.79
12/1/1966,321.08
1/1/1967,322.07
2/1/1967,322.5
3/1/1967,323.04
4/1/1967,324.42
5/1/1967,325
6/1/1967,324.09
7/1/1967,322.55
8/1/1967,320.92
9/1/1967,319.31
10/1/1967,319.31
11/1/1967,320.72
12/1/1967,321.96
1/1/1968,322.57
2/1/1968,323.15
3/1/1968,323.89
4/1/1968,325.02
5/1/1968,325.57
6/1/1968,325.36
7/1/1968,324.14
8/1/1968,322.03
9/1/1968,320.41
10/1/1968,320.25
11/1/1968,321.31
