date,value
1/1/1,-0.369
1/1/2,-0.3548
1/1/3,-0.312
1/1/4,-0.3041
1/1/5,-0.3034
1/1/6,-0.2277
1/1/7,-0.2207
1/1/8,-0.2703
1/1/9,-0.2719
1/1/10,-0.2658
1/1/11,-0.2677
1/1/12,-0.3156
1/1/13,-0.269
1/1/14,-0.233
1/1/15,-0.2719
1/1/16,-0.3368
1/1/17,-0.2301
1/1/18,-0.2122
1/1/19,-0.2337
1/1/20,-0.3365
1/1/21,-0.3445
1/1/22,-0.2255
1/1/23,-0.2774
1/1/24,-0.2197
1/1/25,-0.2287
1/1/26,-0.1778
1/1/27,-0.093
1/1/28,-0.2339
1/1/29,-0.335
1/1/30,-0.207
1/1/31,-0.2369
1/1/32,-0.1279
1/1/33,-0.1931
1/1/34,-0.1117
1/1/35,-0.0936
1/1/36,-0.2057
1/1/37,-0.1835
1/1/38,-0.1491
1/1/39,-0.1071
1/1/40,-0.2378
1/1/41,-0.1316
1/1/42,-0.1245
1/1/43,-0.1353
1/1/44,-0.1994
1/1/45,-0.1781
1/1/46,-0.2028
1/1/47,-0.2238
1/1/48,-0.2875
1/1/49,-0.2086
1/1/50,-0.2769
1/1/51,-0.2758
1/1/52,-0.2353
1/1/53,-0.2087
1/1/54,-0.1013
1/1/55,-0.1778
1/1/56,-0.2424
1/1/57,-0.2721
1/1/58,-0.1776
1/1/59,-0.301
1/1/60,-0.1737
1/1/61,-0.0703
1/1/62,-0.2218
1/1/63,-0.1623
1/1/64,-0.0599
1/1/65,-0.1619
1/1/66,-0.1756
1/1/67,-0.1728
1/1/68,-0.0891
1/1/69,-0.2049
1/1/70,-0.1635
1/1/71,-0.1048
1/1/72,-0.0252
1/1/73,-0.153
1/1/74,-0.1579
1/1/75,-0.1047
1/1/76,-0.1877
1/1/77,-0.1179
1/1/78,-0.2497
1/1/79,-0.0497
1/1/80,-0.0639
1/1/81,-0.185
1/1/82,-0.1685
1/1/83,-0.2688
1/1/84,-0.2818
1/1/85,-0.2524
1/1/86,-0.1401
1/1/87,-0.1638
1/1/88,-0.0234
1/1/89,-0.0669
1/1/90,-0.2149
1/1/91,-0.1539
1/1/92,-0.1653
1/1/93,-0.1319
1/1/94,-0.2558
1/1/95,-0.3914
1/1/96,-0.2901
1/1/97,-0.3847
1/1/98,-0.31
1/1/99,-0.1909
1/1/100,-0.2536
1/1/101,-0.2043
1/1/102,-0.1939
1/1/103,-0.1717
1/1/104,-0.2135
1/1/105,-0.197
1/1/106,-0.2507
1/1/107,-0.1999
1/1/108,-0.2344
1/1/109,-0.3099
1/1/110,-0.1205
1/1/111,-0.1289
1/1/112,-0.2505
1/1/113,-0.2626
1/1/114,-0.2088
1/1/115,-0.1689
1/1/116,-0.1928
1/1/117,-0.0928
1/1/118,-0.2177
1/1/119,-0.2564
1/1/120,-0.1828
1/1/121,-0.1978
1/1/122,-0.2038
1/1/123,-0.3094
1/1/124,-0.1496
1/1/125,-0.1463
1/1/126,-0.2722
1/1/127,-0.2302
1/1/128,-0.2651
1/1/129,-0.2198
1/1/130,-0.2959
1/1/131,-0.1299
1/1/132,-0.2245
1/1/133,-0.2833
1/1/134,-0.2159
1/1/135,-0.1918
1/1/136,-0.1433
1/1/137,-0.1906
1/1/138,-0.2121
1/1/139,-0.1188
1/1/140,-0.0559
1/1/141,-0.1851
1/1/142,-0.193
1/1/143,-0.1556
1/1/144,-0.1854
1/1/145,-0.1168
1/1/146,-0.2179
1/1/147,-0.1219
1/1/148,-0.1809
1/1/149,-0.1539
1/1/150,-0.2813
1/1/151,-0.2022
1/1/152,-0.2027
1/1/153,-0.1506
1/1/154,-0.1484
1/1/155,-0.1105
1/1/156,-0.1529
1/1/157,-0.136
1/1/158,-0.1565
1/1/159,-0.1226
1/1/160,-0.0808
1/1/161,-0.1039
1/1/162,-0.1006
1/1/163,-0.2182
1/1/164,-0.1603
1/1/165,-0.2266
1/1/166,-0.2915
1/1/167,-0.2601
1/1/168,-0.2463
1/1/169,-0.254
1/1/170,-0.2726
1/1/171,-0.2259
1/1/172,-0.2165
1/1/173,-0.158
1/1/174,-0.3035
1/1/175,-0.3108
1/1/176,-0.2169
1/1/177,-0.2549
1/1/178,-0.3179
1/1/179,-0.369
1/1/180,-0.3631
1/1/181,-0.2901
1/1/182,-0.3337
1/1/183,-0.2999
1/1/184,-0.2739
1/1/185,-0.2693
1/1/186,-0.2307
1/1/187,-0.2691
1/1/188,-0.229
1/1/189,-0.2789
1/1/190,-0.2518
1/1/191,-0.1419
1/1/192,-0.3069
1/1/193,-0.2655
1/1/194,-0.1351
1/1/195,-0.1712
1/1/196,-0.1061
1/1/197,-0.0595
1/1/198,-0.1865
1/1/199,-0.2298
1/1/200,-0.2298
1/1/201,-0.2669
1/1/202,-0.2481
1/1/203,-0.3237
1/1/204,-0.1912
1/1/205,-0.2118
1/1/206,-0.1384
1/1/207,-0.1933
1/1/208,-0.2693
1/1/209,-0.1053
1/1/210,-0.1289
1/1/211,-0.1575
1/1/212,-0.1397
1/1/213,-0.1578
1/1/214,-0.2369
1/1/215,-0.2364
1/1/216,-0.2057
1/1/217,-0.1608
1/1/218,-0.2225
1/1/219,-0.208
1/1/220,-0.2375
1/1/221,-0.2671
1/1/222,-0.187
1/1/223,-0.185
1/1/224,-0.1572
1/1/225,-0.1339
1/1/226,-0.168
1/1/227,-0.1588
1/1/228,-0.2631
1/1/229,-0.1609
1/1/230,-0.2513
1/1/231,-0.1922
1/1/232,-0.1911
1/1/233,-0.1867
1/1/234,-0.2288
1/1/235,-0.1927
1/1/236,-0.1904
1/1/237,-0.1653
1/1/238,-0.1326
1/1/239,-0.0648
1/1/240,-0.166
1/1/241,-0.0989
1/1/242,-0.085
1/1/243,-0.1174
1/1/244,-0.0279
1/1/245,-0.0324
1/1/246,-0.04
1/1/247,-0.0326
1/1/248,-0.0855
1/1/249,-0.056
1/1/250,0.0152
1/1/251,-0.173
1/1/252,-0.0428
1/1/253,-0.1242
1/1/254,-0.1419
1/1/255,-0.1439
1/1/256,-0.1675
1/1/257,-0.2247
1/1/258,-0.2163
1/1/259,-0.2099
1/1/260,-0.3165
1/1/261,-0.2498
1/1/262,-0.2208
1/1/263,-0.2269
1/1/264,-0.1909
1/1/265,-0.2756
1/1/266,-0.218
1/1/267,-0.2383
1/1/268,-0.2127
1/1/269,-0.1727
1/1/270,-0.1774
1/1/271,-0.2708
1/1/272,-0.2304
1/1/273,-0.209
1/1/274,-0.3029
1/1/275,-0.251
1/1/276,-0.2256
1/1/277,-0.2095
1/1/278,-0.167
1/1/279,-0.1873
1/1/280,-0.2167
1/1/281,-0.207
1/1/282,-0.0706
1/1/283,-0.1466
1/1/284,-0.081
1/1/285,-0.1509
1/1/286,-0.122
1/1/287,-0.2115
1/1/288,-0.1441
1/1/289,-0.1803
1/1/290,-0.2499
1/1/291,-0.1908
1/1/292,-0.1154
1/1/293,-0.2424
1/1/294,-0.255
1/1/295,-0.2017
1/1/296,-0.1697
1/1/297,-0.1162
1/1/298,-0.2261
1/1/299,-0.1571
1/1/300,-0.1555
1/1/301,-0.1338
1/1/302,-0.0752
1/1/303,-0.0787
1/1/304,-0.1066
1/1/305,-0.1281
1/1/306,-0.0683
1/1/307,-0.102
1/1/308,-0.0951
1/1/309,-0.1309
1/1/310,-0.105
1/1/311,-0.1309
1/1/312,-0.1461
1/1/313,-0.1574
1/1/314,-0.0668
1/1/315,-0.1432
1/1/316,-0.0969
1/1/317,-0.1039
1/1/318,-0.147
1/1/319,-0.222
1/1/320,-0.273
1/1/321,-0.2877
1/1/322,-0.1997
1/1/323,-0.1598
1/1/324,-0.1106
1/1/325,-0.1995
1/1/326,-0.2692
1/1/327,-0.2267
1/1/328,-0.2537
1/1/329,-0.2128
1/1/330,-0.2159
1/1/331,-0.25
1/1/332,-0.2132
1/1/333,-0.179
1/1/334,-0.2421
1/1/335,-0.307
1/1/336,-0.2436
1/1/337,-0.2388
1/1/338,-0.2809
1/1/339,-0.3384
1/1/340,-0.2468
1/1/341,-0.1925
1/1/342,-0.2062
1/1/343,-0.2116
1/1/344,-0.2519
1/1/345,-0.2317
1/1/346,-0.1844
1/1/347,-0.2193
1/1/348,-0.1619
1/1/349,-0.1519
1/1/350,-0.2371
1/1/351,-0.2376
1/1/352,-0.2886
1/1/353,-0.2147
1/1/354,-0.2684
1/1/355,-0.254
1/1/356,-0.2321
1/1/357,-0.2833
1/1/358,-0.2069
1/1/359,-0.334
1/1/360,-0.2547
1/1/361,-0.1878
1/1/362,-0.2598
1/1/363,-0.2275
1/1/364,-0.2223
1/1/365,-0.2481
1/1/366,-0.2402
1/1/367,-0.2494
1/1/368,-0.231
1/1/369,-0.2845
1/1/370,-0.2009
1/1/371,-0.2462
1/1/372,-0.2938
1/1/373,-0.2807
1/1/374,-0.3608
1/1/375,-0.2199
1/1/376,-0.2689
1/1/377,-0.1468
1/1/378,-0.2329
1/1/379,-0.185
1/1/380,-0.1759
1/1/381,-0.2523
1/1/382,-0.1843
1/1/383,-0.1979
1/1/384,-0.1734
1/1/385,-0.151
1/1/386,-0.1402
1/1/387,-0.2375
1/1/388,-0.2479
1/1/389,-0.2589
1/1/390,-0.3366
1/1/391,-0.2746
1/1/392,-0.3115
1/1/393,-0.3053
1/1/394,-0.2912
1/1/395,-0.2984
1/1/396,-0.2633
1/1/397,-0.2515
1/1/398,-0.2008
1/1/399,-0.2279
1/1/400,-0.2451
1/1/401,-0.1791
1/1/402,-0.1978
1/1/403,-0.1438
1/1/404,-0.1719
1/1/405,-0.1057
1/1/406,-0.0138
1/1/407,-0.0675
1/1/408,-0.0519
1/1/409,-0.1059
1/1/410,-0.1469
1/1/411,-0.1249
1/1/412,-0.168
1/1/413,-0.1195
1/1/414,-0.1999
1/1/415,-0.1209
1/1/416,-0.1809
1/1/417,-0.1479
1/1/418,-0.1849
1/1/419,-0.1505
1/1/420,-0.1473
1/1/421,-0.1753
1/1/422,-0.1982
1/1/423,-0.1929
1/1/424,-0.0958
1/1/425,-0.1105
1/1/426,-0.2733
1/1/427,-0.1836
1/1/428,-0.2478
1/1/429,-0.1307
1/1/430,-0.0936
1/1/431,-0.1609
1/1/432,-0.1387
1/1/433,-0.1288
1/1/434,-0.0849
1/1/435,-0.0963
1/1/436,-0.181
1/1/437,-0.1168
1/1/438,-0.1472
1/1/439,-0.2229
1/1/440,-0.1879
1/1/441,-0.1469
1/1/442,-0.1089
1/1/443,-0.0626
1/1/444,-0.0314
1/1/445,-0.1507
1/1/446,-0.1247
1/1/447,-0.1686
1/1/448,-0.1711
1/1/449,-0.2887
1/1/450,-0.1552
