date,value
7/27/2006 11:28,16.05
7/27/2006 12:28,16.42
7/27/2006 13:28,16.85
7/27/2006 14:28,17.04
7/27/2006 15:28,17.49
7/27/2006 16:28,17.58
7/27/2006 17:28,17.64
7/27/2006 18:28,17.56
7/27/2006 19:28,17.26
7/27/2006 20:28,17.04
7/27/2006 21:28,16.88
7/27/2006 22:28,16.91
7/27/2006 23:28,16.75
7/28/2006 0:28,16.67
7/28/2006 1:28,16.57
7/28/2006 2:28,16.45
7/28/2006 3:28,16.34
7/28/2006 4:28,16.24
7/28/2006 5:28,16.14
7/28/2006 6:28,16.11
7/28/2006 7:28,16.06
7/28/2006 8:28,16.06
7/28/2006 9:28,16.18
7/28/2006 10:28,16.34
7/28/2006 11:28,16.64
7/28/2006 12:28,16.68
7/28/2006 13:28,17.06
7/28/2006 14:28,17.24
7/28/2006 15:28,17.33
7/28/2006 16:28,17.69
7/28/2006 17:28,18.07
7/28/2006 18:28,17.8
7/28/2006 19:28,18.33
7/28/2006 20:28,19.19
7/28/2006 21:28,20.35
7/28/2006 22:28,20.79
7/28/2006 23:28,20.66
7/29/2006 0:28,20.38
7/29/2006 1:28,20.1
7/29/2006 2:28,19.79
7/29/2006 3:28,19.42
7/29/2006 4:28,19.09
7/29/2006 5:28,18.68
7/29/2006 6:28,18.36
7/29/2006 7:28,18.08
7/29/2006 8:28,17.93
7/29/2006 9:28,17.96
7/29/2006 10:28,18.1
7/29/2006 11:28,18.32
7/29/2006 12:28,18.56
7/29/2006 13:28,18.88
7/29/2006 14:28,19.32
7/29/2006 15:28,19.62
7/29/2006 16:28,19.82
7/29/2006 17:28,19.65
7/29/2006 18:28,19.44
7/29/2006 19:28,19.14
7/29/2006 20:28,18.82
7/29/2006 21:28,18.56
7/29/2006 22:28,18.23
7/29/2006 23:28,18
7/30/2006 0:28,17.79
7/30/2006 1:28,17.56
7/30/2006 2:28,17.4
7/30/2006 3:28,17.17
7/30/2006 4:28,17.06
7/30/2006 5:28,16.96
7/30/2006 6:28,16.88
7/30/2006 7:28,16.74
7/30/2006 8:28,16.67
7/30/2006 9:28,16.72
7/30/2006 10:28,16.77
7/30/2006 11:28,17.04
7/30/2006 12:28,17.32
7/30/2006 13:28,17.57
7/30/2006 14:28,18.03
7/30/2006 15:28,18.17
7/30/2006 16:28,18.32
7/30/2006 17:28,18.33
7/30/2006 18:28,18.04
7/30/2006 19:28,17.65
7/30/2006 20:28,17.32
7/30/2006 21:28,17.02
7/30/2006 22:28,16.76
7/30/2006 23:28,16.58
7/31/2006 0:28,16.35
7/31/2006 1:28,16.14
7/31/2006 2:28,15.94
7/31/2006 3:28,15.79
7/31/2006 4:28,15.64
7/31/2006 5:28,15.47
7/31/2006 6:28,15.34
7/31/2006 7:28,15.15
7/31/2006 8:28,15.1
7/31/2006 9:28,15.18
7/31/2006 10:28,15.38
7/31/2006 11:28,15.62
7/31/2006 12:28,15.98
7/31/2006 13:28,16.34
7/31/2006 14:28,16.84
7/31/2006 15:28,17.14
