date,value
1/1/1380,4.55
1/1/1381,4.5
1/1/1382,4.7
1/1/1383,3.07
1/1/1384,4.07
1/1/1385,3.9
1/1/1386,3.06
1/1/1387,3.67
1/1/1388,4.9
1/1/1389,3.29
1/1/1390,4
1/1/1391,3.81
1/1/1392,3.66
1/1/1393,4.08
1/1/1394,5.01
1/1/1395,3.69
1/1/1396,5.53
1/1/1397,4.14
1/1/1398,4.17
1/1/1399,3.62
1/1/1400,4.16
1/1/1401,4.75
1/1/1402,4.88
1/1/1403,5.05
1/1/1404,5.86
1/1/1405,4.98
1/1/1406,5.14
1/1/1407,4.47
1/1/1408,4.17
1/1/1409,4.26
1/1/1410,4
1/1/1411,3.56
1/1/1412,4.05
1/1/1413,5.04
1/1/1414,2.68
1/1/1415,4.45
1/1/1416,4.9
1/1/1417,4.8
1/1/1418,4.58
1/1/1419,4.42
1/1/1420,3.22
1/1/1421,3.67
1/1/1422,4.16
1/1/1423,4.47
1/1/1424,4.33
1/1/1425,5.6
1/1/1426,4.83
1/1/1427,4.22
1/1/1428,4.46
1/1/1429,4.06
1/1/1430,3.52
1/1/1431,5.03
1/1/1432,3.9
1/1/1433,4.1
1/1/1434,4.26
1/1/1435,4
1/1/1436,5.22
1/1/1437,4.57
1/1/1438,5.03
1/1/1439,3.88
1/1/1440,4.61
1/1/1441,3.86
1/1/1442,5.54
1/1/1443,4.02
1/1/1444,4.38
1/1/1445,4.1
1/1/1446,3.57
1/1/1447,3.58
1/1/1448,3.81
1/1/1449,3.2
1/1/1450,3.02
1/1/1451,3.38
1/1/1452,4.4
1/1/1453,3.42
1/1/1454,3.41
1/1/1455,3.25
1/1/1456,3.74
1/1/1457,3.42
1/1/1458,4.16
1/1/1459,4.63
1/1/1460,4.8
1/1/1461,3.66
1/1/1462,4.28
1/1/1463,4.15
1/1/1464,3.94
1/1/1465,4.85
1/1/1466,4.4
1/1/1467,3.72
1/1/1468,4.37
1/1/1469,3.99
1/1/1470,4.85
1/1/1471,3.16
1/1/1472,4.02
1/1/1473,4.12
1/1/1474,4.37
1/1/1475,4.14
1/1/1476,3.96
1/1/1477,4.75
1/1/1478,5.16
1/1/1479,4.49
1/1/1480,4.65
1/1/1481,4.29
1/1/1482,3.9
1/1/1483,3.69
1/1/1484,4.05
1/1/1485,4.28
1/1/1486,5.25
1/1/1487,3.65
1/1/1488,3.93
1/1/1489,4.08
1/1/1490,3.83
1/1/1491,3.91
1/1/1492,5.07
1/1/1493,5.1
1/1/1494,4.47
1/1/1495,3.72
1/1/1496,3.12
1/1/1497,4.52
1/1/1498,3.9
1/1/1499,5.16
1/1/1500,4.06
1/1/1501,3.74
1/1/1502,3.69
1/1/1503,4.04
1/1/1504,5.2
1/1/1505,3.98
1/1/1506,4.35
1/1/1507,4.42
1/1/1508,4.22
1/1/1509,4.87
1/1/1510,3.38
1/1/1511,5.43
1/1/1512,5.07
1/1/1513,3.94
1/1/1514,4.56
1/1/1515,4.16
1/1/1516,4.61
1/1/1517,4.8
1/1/1518,3.36
1/1/1519,3.72
1/1/1520,4.08
1/1/1521,3.9
1/1/1522,4.53
1/1/1523,4.47
